date,potential_evaporation_sum,runoff_sum,snow_depth,snowfall_sum,snowmelt_sum,temperature_2m,total_evaporation_sum,total_precipitation_sum
1960-04-11,-0.01159382223691455,0.0014538271918476903,-7.3453647229951e-24,0.0,0.0,284.33365754397374,-0.001900633425438052,0.0018463745003654847
1960-04-12,-0.00717110186815262,0.0014317729594476513,-7.3453647229951e-24,0.0,0.0,290.72397070969794,-0.0024367230156763834,0.0016848363410012644
1960-04-13,-0.010462577229943771,0.0013880027681344447,-7.3453647229951e-24,0.0,3.725290298461914e-09,291.81744529878637,-0.0022300285300964795,5.418719906276301e-05
1960-04-14,-0.011665292781562055,0.001368557609165048,-7.3453647229951e-24,0.0,3.725290298461914e-09,292.8848141386787,-0.0023204166020078616,0.00013268776432796617
1960-04-15,-0.007015461184708358,0.0014313640461375173,-7.3453647229951e-24,0.0,3.2665107050552754e-09,292.2486381770877,-0.0020224544646337706,0.004970773831857517
1960-04-16,-0.009371420616293188,0.0013299460579413304,-7.3453647229951e-24,0.0,3.93938744205168e-09,294.294637039051,-0.0022280094793375297,0.0001533167750610727
1960-04-17,-0.01188164308349096,0.0013944963712018898,-7.3453647229951e-24,0.0,3.725290298461914e-09,292.35732048903265,-0.002822359191935834,0.005282141365928056
1960-04-18,-0.009953232870509084,0.0012876685029767421,-7.3453647229951e-24,0.0,0.0,282.4483980367794,-0.0025373311722513493,2.8756963535527746e-05
1960-04-19,-0.00984095178899311,0.0012639452181817667,-7.3453647229951e-24,0.0,0.0,285.65070535422814,-0.002675553184302374,4.351138045421976e-07
1960-04-20,-0.013505774643425093,0.0012395755312908656,-7.3453647229951e-24,0.0,0.0,290.04039960463456,-0.0028040546370281766,2.5749613996595144e-06
1960-04-21,-0.01044816186128579,0.0019236397615990226,-7.3453647229951e-24,0.0,0.0,292.4136370892204,-0.0032914444721611267,0.014076342596302537
1960-04-22,-0.01142534446001836,0.001191268389056665,-7.3453647229951e-24,0.0,0.0,293.31316666898016,-0.0031693562611399225,0.0
1960-04-23,-0.010531454079452605,0.0011667227999525903,-7.3453647229951e-24,0.0,2.1073275990478316e-09,295.63738690769344,-0.002755932696469508,2.392504994309399e-07
1960-04-24,-0.012032147209436829,0.0011430953328049633,-7.3453647229951e-24,0.0,3.3857933993410013e-09,296.42394307537944,-0.0031717425496707416,8.52346317969932e-07
1960-04-25,-0.01145731573328009,0.0011201573808009208,-7.3453647229951e-24,0.0,3.278744827546119e-09,296.1097479957535,-0.0028048736931777555,0.0001454577901048792
1960-04-26,-0.010670965393677918,0.0010984120599937754,-7.3453647229951e-24,0.0,1.572084740073419e-09,292.1211108461912,-0.0025762001768194986,0.00023267060664576865
1960-04-27,-0.011566037835158739,0.0010736039266210473,-7.3453647229951e-24,0.0,0.0,289.2742516831355,-0.002838684160305166,1.293420723413874e-06
1960-04-28,-0.011941001308571139,0.001050332766056844,-7.3453647229951e-24,0.0,0.0,290.1879343639389,-0.002976599906392286,-4.797982455784222e-09
1960-04-29,-0.0062707207350699585,0.0023571552314194557,-7.3453647229951e-24,0.0,3.725290298461914e-09,290.57326743716294,-0.0019372419388398946,0.022074004102327825
1960-04-30,-0.007110010031213119,0.0010844022769646105,-7.3453647229951e-24,0.0,3.725290298461914e-09,288.89344418029293,-0.002712761571903045,0.00442500695307959
1960-05-01,-0.011097893106624217,0.0009958790538737731,-7.3453647229951e-24,0.0,0.0,283.50695958004417,-0.0028902135410136588,8.479193525090523e-07
1960-05-02,-0.008994644021459403,0.0009756962017864234,-7.3453647229951e-24,0.0,0.0,285.99092119380833,-0.0028766251026923436,8.612871056357108e-07
1960-05-03,-0.009742295017774861,0.000955742959709982,-7.3453647229951e-24,0.0,0.0,288.87013156308336,-0.0031942796185368003,4.351138045421976e-07
1960-05-04,-0.010352034849682076,0.0009368209807547837,-7.3453647229951e-24,0.0,0.0,291.4160541759923,-0.0028149890751625324,0.00013334254912644784
1960-05-05,-0.0084144622821526,0.0009712163108127265,-7.3453647229951e-24,0.0,3.725290298461914e-09,292.2637847071471,-0.002080756880355195,0.0035929431859678534
1960-05-06,-0.0038647304957331896,0.004499155557018588,-7.3453647229951e-24,0.0,3.939387442051679e-09,291.2423376909162,-0.0020806896324423933,0.03458246588706971
1960-05-07,-0.013551474376069305,0.0018966078317811342,-7.3453647229951e-24,0.0,1.5843188625642626e-09,285.7959746072119,-0.0033003454553865654,0.004765988051886883
1960-05-08,-0.008468246225065786,0.0008866651647392361,-7.3453647229951e-24,0.0,0.0,283.4387773681875,-0.0016192046356538837,6.227839756339646e-05
1960-05-09,-0.007038853108295668,0.0008796275591811134,-7.3453647229951e-24,0.0,0.0,281.85858319558673,-0.0014855177302298878,0.00010137590246078352
1960-05-10,-0.005253992216242555,0.0008828902039034615,-7.3453647229951e-24,0.0,0.0,281.11825930465426,-0.001092837265522903,0.0009588723267346849
1960-05-11,-0.004023691838108652,0.0008927766961612922,-7.3453647229951e-24,0.0,0.0,280.0416606408231,-0.0016981264613018248,0.002223491374968546
1960-05-12,-0.008479609326971773,0.0008593504554140942,-7.3453647229951e-24,0.0,0.0,282.4427001057392,-0.002591090957360413,1.500318262701744e-06
1960-05-13,-0.009025922880090517,0.0008486767952469575,-7.3453647229951e-24,0.0,0.0,286.34602401056907,-0.003032932646743868,2.172396818878042e-06
1960-05-14,-0.010271517929968185,0.0008368780117708279,-7.3453647229951e-24,0.0,0.0,290.33269907675236,-0.003474798204900303,8.52346317969932e-07
1960-05-15,-0.009153429143534508,0.0008261299681389469,-7.3453647229951e-24,0.0,3.725290298461914e-09,293.9104335599084,-0.0030420609904309413,0.000183132912242622
1960-05-16,-0.00988568074401768,0.0008153929352173079,-7.3453647229951e-24,0.0,1.125539269157623e-09,296.01503933122007,-0.0028856935679961514,0.00027843818973332025
1960-05-17,-0.013797443867806342,0.0008008048696862458,-7.3453647229951e-24,0.0,6.325041327766207e-09,295.9959716629839,-0.003449880715294425,1.0724612245301345e-05
1960-05-18,-0.00859607058792866,0.0008251161264081308,-7.3453647229951e-24,0.0,0.0,293.3720470380444,-0.0028516554651393483,0.002586429058211791
1960-05-19,-0.005104049049281136,0.000888902296377912,-7.3453647229951e-24,0.0,3.725290298461914e-09,295.2776203113759,-0.0024063379071004487,0.006741148508376161
1960-05-20,-0.0049723198970746145,0.0009210878013585787,-7.3453647229951e-24,0.0,3.725290298461914e-09,296.0524320325763,-0.002038230168310488,0.006920831915318995
1960-05-21,-0.016280308720611394,0.0008433871032373464,-7.3453647229951e-24,0.0,0.0,292.6878263487083,-0.004156762483256009,0.004662797231778838
